Session;170710_1310;6;masterfile;Period;AuditRate;TaxRate;Period;Subject;Sujeto;Group;Grupo;Profit;nCorrectRET;ProfitRET;Declared;Deduction;TotalDeduction;Cheat;Type;Audited;Fine;DeductionsGroup;ReceivedFromGroup;TaxRateProposed;nCorrectSum;GroupDG;ProfitDG;ProposerDG;OfferDG;age_subject;gender;Trust;Ideology;Income;PublicTransport;Taxes;jDrivingFast;MoneyFound;Lying;AccidentalDamage;Litter;DrivingAlcohol;JobApplication;BuyingStolen;ProfitRiskAv;dec1;dec2;jdec3;dec4;dec5;dec6;dec7;dec8;dec9;dec10;HLJump;SafeChoices;init_pred;avg_pred;realdie;digitaldie;digitaldielie;lastroll
1;170710_1310;6;masterfile;5;0;10;5;1;1;1;-1;1560;10;1500;0;0;0;1;-1;0;0;240;60;-1;10;5;900;1;100;24;1;0;2;89;1;1;3;3;3;2;1;1;1;2;1.6;0;0;0;0;0;0;1;1;1;1;7;6;2;2.666666667;1;2;0;5
1;170710_1310;6;masterfile;5;0;10;5;2;2;1;-1;1560;10;1500;0;0;0;1;-1;0;0;240;60;-1;10;6;600;1;400;25;0;1;1;4;3;1;3;3;3;1;1;1;1;1;0.1;0;0;0;0;0;0;1;1;1;1;7;6;4;3.666666667;1;3;0;3
1;170710_1310;6;masterfile;5;0;10;5;3;3;3;-1;1230;8;1200;300;30;30;1;-1;0;0;240;60;-1;8;2;600;1;400;22;0;0;2;3;2;1;2;3;2;1;1;1;1;2;2;0;0;0;0;0;1;1;1;1;1;6;5;3;3.333333333;3;6;0;6
1;170710_1310;6;masterfile;5;0;10;5;4;4;3;-1;1950;14;2100;2100;210;210;0;-1;0;0;240;60;-1;14;1;500;0;500;29;0;1;1;3;3;1;1;3;2;1;1;1;1;1;1.6;0;0;0;0;0;0;0;1;1;1;8;7;2;2.666666667;6;4;0;4
1;170710_1310;6;masterfile;5;0;10;5;5;5;2;-1;933.75;6;900;400;40;40;1;-1;0;0;295;73.75;-1;6;2;400;0;500;21;0;1;1;14;3;2;3;3;3;2;1;1;2;2;1.6;0;0;0;0;1;0;0;0;1;1;5;7;4;4;6;3;0;3
1;170710_1310;6;masterfile;5;0;10;5;6;6;4;-1;1372;9;1350;0;0;0;1;-1;0;0;88;22;-1;9;6;400;0;0;24;1;0;2;11;2;2;2;3;3;2;2;1;3;3;2;0;0;0;0;0;0;1;1;1;1;7;6;3;3.666666667;4;3;0;3
1;170710_1310;6;masterfile;5;0;10;5;7;7;2;-1;1603.75;11;1650;1200;120;120;1;-1;0;0;295;73.75;-1;11;3;500;1;500;23;0;1;1;5;2;1;3;3;3;2;2;1;2;2;0.1;0;0;0;0;0;1;1;1;1;1;6;5;2;1.666666667;1;1;0;1
1;170710_1310;6;masterfile;5;0;10;5;8;8;1;-1;1365;9;1350;450;45;45;1;-1;0;0;240;60;-1;9;1;500;1;500;22;0;1;1;89;2;2;2;3;3;3;2;1;2;3;0.1;0;0;0;0;0;0;0;0;1;1;9;8;2;2;3;3;0;3
1;170710_1310;6;masterfile;5;0;10;5;9;9;4;-1;922;6;900;0;0;0;1;-1;0;0;88;22;-1;6;7;500;0;300;24;0;1;1;1;2;1;1;3;1;1;1;1;1;1;2;0;0;0;0;0;0;1;1;1;1;7;6;2;2.666666667;1;6;0;6
1;170710_1310;6;masterfile;5;0;10;5;10;10;4;-1;2122;14;2100;0;0;0;1;-1;0;0;88;22;-1;14;7;500;1;500;20;1;0;2;1;2;1;2;4;3;1;1;2;2;2;1.6;0;0;0;0;1;1;1;1;1;1;5;4;2;2;5;4;0;4
1;170710_1310;6;masterfile;5;0;10;5;11;11;1;-1;1815;13;1950;1950;195;195;0;-1;0;0;240;60;-1;13;5;100;0;500;28;1;0;0;4;1;1;1;3;3;1;1;1;1;1;0.1;0;0;0;0;1;1;1;1;1;1;5;4;2;2.333333333;6;5;1;5
1;170710_1310;6;masterfile;5;0;10;5;12;12;3;-1;960;6;900;0;0;0;1;-1;0;0;240;60;-1;6;4;600;1;400;19;0;0;5;88;3;1;3;3;1;2;1;1;2;3;3.85;1;1;1;1;1;1;1;1;1;1;1;0;1;3;2;2;0;2
1;170710_1310;6;masterfile;5;0;10;5;13;13;2;-1;1288.75;9;1350;1350;135;135;0;-1;0;0;295;73.75;-1;9;8;100;0;400;22;0;0;1;89;3;1;2;3;2;1;1;2;2;2;2;0;0;0;0;1;0;1;1;1;1;5;5;3;2.666666667;2;5;1;5
1;170710_1310;6;masterfile;5;0;10;5;14;14;2;-1;2023.75;13;1950;0;0;0;1;-1;0;0;295;73.75;-1;13;8;900;1;100;21;0;0;4;89;2;1;2;3;1;2;2;1;1;1;2;0;0;0;0;0;0;0;0;0;1;10;9;2;1.666666667;5;6;0;6
1;170710_1310;6;masterfile;5;0;10;5;15;15;3;-1;2160;14;2100;0;0;0;1;-1;0;0;240;60;-1;14;3;500;0;300;19;1;0;4;3;1;1;3;1;1;1;1;1;1;1;1.6;0;0;0;0;1;1;1;1;1;1;5;4;1;1.333333333;3;1;0;1
1;170710_1310;6;masterfile;5;0;10;5;16;16;4;-1;834;6;900;880;88;88;1;-1;0;0;88;22;-1;6;4;400;0;500;20;0;0;2;2;3;1;2;3;3;2;1;1;1;1;1.6;0;0;0;0;0;0;0;1;1;1;8;7;4;4;5;2;0;2
1;170710_1310;6;masterfile;6;0;10;6;1;1;1;-1;1957.5;13;1950;0;0;0;1;-1;0;0;30;7.5;-1;13;5;900;1;100;24;1;0;2;89;1;1;3;3;3;2;1;1;1;2;1.6;0;0;0;0;0;0;1;1;1;1;7;6;2;2.666666667;1;2;0;5
1;170710_1310;6;masterfile;6;0;10;6;2;2;2;-1;1657.5;11;1650;0;0;0;1;-1;0;0;30;7.5;-1;11;6;600;1;400;25;0;1;1;4;3;1;3;3;3;1;1;1;1;1;0.1;0;0;0;0;0;0;1;1;1;1;7;6;4;3.666666667;1;3;0;3
1;170710_1310;6;masterfile;6;0;10;6;3;3;4;-1;1260;8;1200;600;60;60;1;-1;0;0;480;120;-1;8;2;600;1;400;22;0;0;2;3;2;1;2;3;2;1;1;1;1;2;2;0;0;0;0;0;1;1;1;1;1;6;5;3;3.333333333;3;6;0;6
1;170710_1310;6;masterfile;6;0;10;6;4;4;3;-1;1823.75;13;1950;1950;195;195;0;-1;0;0;275;68.75;-1;13;1;500;0;500;29;0;1;1;3;3;1;1;3;2;1;1;1;1;1;1.6;0;0;0;0;0;0;0;1;1;1;8;7;2;2.666666667;6;4;0;4
1;170710_1310;6;masterfile;6;0;10;6;5;5;1;-1;727.5;5;750;300;30;30;1;-1;0;0;30;7.5;-1;5;2;400;0;500;21;0;1;1;14;3;2;3;3;3;2;1;1;2;2;1.6;0;0;0;0;1;0;0;0;1;1;5;7;4;4;6;3;0;3
