"sujeto","grupo","cheat","ncorrectret","percevaded","safechoices","period","offerdg","auditrate","taxrate","profitret","perform_high","treatment_lab","treatment2_lab","realdie","die_type"
647,162,1,13,0.899999976158142,6,7,400,0,10,1950,0,"Non-fixed","Non-fixed",5,"Incentivized die"
647,163,1,10,0.899999976158142,6,3,400,0,10,1500,0,"Non-fixed","Non-fixed",5,"Incentivized die"
647,163,0,6,0,6,1,400,0,10,900,0,"Non-fixed","Non-fixed",5,"Incentivized die"
647,161,0,9,0,6,8,400,0,10,1350,0,"Non-fixed","Non-fixed",5,"Incentivized die"
647,161,0,9,0,6,5,400,0,10,1350,0,"Non-fixed","Non-fixed",5,"Incentivized die"
648,161,0,6,0,5,3,500,0,10,900,0,"Non-fixed","Non-fixed",5,"Incentivized die"
648,162,0,7,0,5,10,500,0,10,1050,0,"Non-fixed","Non-fixed",5,"Incentivized die"
648,162,0,5,0,5,6,500,0,10,750,0,"Non-fixed","Non-fixed",5,"Incentivized die"
648,163,1,6,1,5,4,500,0,10,900,0,"Non-fixed","Non-fixed",5,"Incentivized die"
648,164,0,11,0,5,7,500,0,10,1650,0,"Non-fixed","Non-fixed",5,"Incentivized die"
648,164,0,6,0,5,1,500,0,10,900,0,"Non-fixed","Non-fixed",5,"Incentivized die"
648,161,0,7,0,5,2,500,0,10,1050,0,"Non-fixed","Non-fixed",5,"Incentivized die"
648,163,0,9,0,5,9,500,0,10,1350,0,"Non-fixed","Non-fixed",5,"Incentivized die"
648,164,0,7,0,5,5,500,0,10,1050,0,"Non-fixed","Non-fixed",5,"Incentivized die"
648,164,0,7,0,5,8,500,0,10,1050,0,"Non-fixed","Non-fixed",5,"Incentivized die"
649,162,1,9,0.629629611968994,4,4,350,0,10,1350,0,"Non-fixed","Non-fixed",5,"Incentivized die"
649,164,1,14,1,4,10,350,0,10,2100,0,"Non-fixed","Non-fixed",5,"Incentivized die"
649,162,0,11,0,4,1,350,0,10,1650,0,"Non-fixed","Non-fixed",5,"Incentivized die"
649,163,1,9,1,4,9,350,0,10,1350,0,"Non-fixed","Non-fixed",5,"Incentivized die"
649,163,0,11,0,4,2,350,0,10,1650,0,"Non-fixed","Non-fixed",5,"Incentivized die"
649,162,1,7,0.523809552192688,4,3,350,0,10,1050,0,"Non-fixed","Non-fixed",5,"Incentivized die"
